"","price.index","arr_time.x","dep_time.x","dur_hours.x","dur_minutes.x","parse_time.x","fl_class.x","fl_from.x","fl_to.x","arr_time.y","dep_time.y","dur_hours.y","dur_minutes.y","parse_time.y","fl_class.y","fl_from.y","fl_to.y","X","comp_name","changes1","changes2","ncomp","options1","options2","price","stops1","stops2","opt.sum"
"1",0,"2013-05-15 12:10","2013-05-15 07:25",6,45,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 15:45","2013-05-28 07:35",6,10,"2013-05-10 23:51","E","MOW","PAR",0,"Air France",1,2,2,1,2,13710,1,1,3
"2",0,"2013-05-15 12:10","2013-05-15 07:25",6,45,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 15:45","2013-05-28 07:35",6,10,"2013-05-10 23:51","E","MOW","PAR",1,"Ukraine Intl",1,2,2,1,2,13710,1,1,3
"3",0,"2013-05-15 12:10","2013-05-15 07:25",6,45,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 23:20","2013-05-28 13:20",8,0,"2013-05-10 23:51","E","MOW","PAR",0,"Air France",1,2,2,1,2,13710,1,1,3
"4",0,"2013-05-15 12:10","2013-05-15 07:25",6,45,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 23:20","2013-05-28 13:20",8,0,"2013-05-10 23:51","E","MOW","PAR",1,"Ukraine Intl",1,2,2,1,2,13710,1,1,3
"5",1,"2013-05-15 12:10","2013-05-15 07:35",6,35,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 15:45","2013-05-28 07:35",6,10,"2013-05-10 23:51","E","MOW","PAR",2,"Air France",1,2,2,1,2,14167,1,1,3
"6",1,"2013-05-15 12:10","2013-05-15 07:35",6,35,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 15:45","2013-05-28 07:35",6,10,"2013-05-10 23:51","E","MOW","PAR",3,"Ukraine Intl",1,2,2,1,2,14167,1,1,3
"7",1,"2013-05-15 12:10","2013-05-15 07:35",6,35,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 23:20","2013-05-28 13:20",8,0,"2013-05-10 23:51","E","MOW","PAR",2,"Air France",1,2,2,1,2,14167,1,1,3
"8",1,"2013-05-15 12:10","2013-05-15 07:35",6,35,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 23:20","2013-05-28 13:20",8,0,"2013-05-10 23:51","E","MOW","PAR",3,"Ukraine Intl",1,2,2,1,2,14167,1,1,3
"9",2,"2013-05-15 12:10","2013-05-15 07:25",6,45,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 21:30","2013-05-28 12:45",6,45,"2013-05-10 23:51","E","MOW","PAR",4,"Air France",1,2,2,1,2,14530,1,1,3
"10",2,"2013-05-15 12:10","2013-05-15 07:25",6,45,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 21:30","2013-05-28 12:45",6,45,"2013-05-10 23:51","E","MOW","PAR",5,"Ukraine Intl",1,2,2,1,2,14530,1,1,3
"11",2,"2013-05-15 12:10","2013-05-15 07:25",6,45,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 21:30","2013-05-28 13:20",6,10,"2013-05-10 23:51","E","MOW","PAR",4,"Air France",1,2,2,1,2,14530,1,1,3
"12",2,"2013-05-15 12:10","2013-05-15 07:25",6,45,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 21:30","2013-05-28 13:20",6,10,"2013-05-10 23:51","E","MOW","PAR",5,"Ukraine Intl",1,2,2,1,2,14530,1,1,3
"13",3,"2013-05-15 11:40","2013-05-15 07:00",6,40,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 21:30","2013-05-28 12:40",6,50,"2013-05-10 23:51","E","MOW","PAR",6,"Rossiya",1,2,1,1,2,14547,1,1,3
"14",3,"2013-05-15 11:40","2013-05-15 07:00",6,40,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 22:30","2013-05-28 12:40",7,50,"2013-05-10 23:51","E","MOW","PAR",6,"Rossiya",1,2,1,1,2,14547,1,1,3
"15",4,"2013-05-15 19:35","2013-05-15 12:25",9,10,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 21:40","2013-05-28 13:25",6,15,"2013-05-10 23:51","E","MOW","PAR",7,"Air France",2,1,2,2,1,14553,1,1,3
"16",4,"2013-05-15 19:35","2013-05-15 12:25",9,10,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 21:40","2013-05-28 13:25",6,15,"2013-05-10 23:51","E","MOW","PAR",8,"Czech Airlines",2,1,2,2,1,14553,1,1,3
"17",4,"2013-05-15 22:20","2013-05-15 16:30",7,50,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 21:40","2013-05-28 13:25",6,15,"2013-05-10 23:51","E","MOW","PAR",7,"Air France",2,1,2,2,1,14553,1,1,3
"18",4,"2013-05-15 22:20","2013-05-15 16:30",7,50,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 21:40","2013-05-28 13:25",6,15,"2013-05-10 23:51","E","MOW","PAR",8,"Czech Airlines",2,1,2,2,1,14553,1,1,3
"19",5,"2013-05-15 21:55","2013-05-15 18:35",5,20,"2013-05-10 23:51","E","MOW","PAR","2013-05-29 02:20","2013-05-28 18:45",5,35,"2013-05-10 23:51","E","MOW","PAR",9,"Swiss",1,1,1,1,1,14824,1,1,2
"20",6,"2013-05-15 21:55","2013-05-15 18:35",5,20,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 17:30","2013-05-28 09:20",6,10,"2013-05-10 23:51","E","MOW","PAR",10,"Lufthansa",1,1,2,1,1,14930,1,1,2
"21",6,"2013-05-15 21:55","2013-05-15 18:35",5,20,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 17:30","2013-05-28 09:20",6,10,"2013-05-10 23:51","E","MOW","PAR",11,"Swiss",1,1,2,1,1,14930,1,1,2
"22",7,"2013-05-15 12:10","2013-05-15 07:35",6,35,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 21:30","2013-05-28 12:45",6,45,"2013-05-10 23:51","E","MOW","PAR",12,"Air France",1,2,2,1,2,14987,1,1,3
"23",7,"2013-05-15 12:10","2013-05-15 07:35",6,35,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 21:30","2013-05-28 12:45",6,45,"2013-05-10 23:51","E","MOW","PAR",13,"Ukraine Intl",1,2,2,1,2,14987,1,1,3
"24",7,"2013-05-15 12:10","2013-05-15 07:35",6,35,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 21:30","2013-05-28 13:20",6,10,"2013-05-10 23:51","E","MOW","PAR",12,"Air France",1,2,2,1,2,14987,1,1,3
"25",7,"2013-05-15 12:10","2013-05-15 07:35",6,35,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 21:30","2013-05-28 13:20",6,10,"2013-05-10 23:51","E","MOW","PAR",13,"Ukraine Intl",1,2,2,1,2,14987,1,1,3
"26",8,"2013-05-15 21:55","2013-05-15 18:35",5,20,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 18:25","2013-05-28 09:20",7,5,"2013-05-10 23:51","E","MOW","PAR",14,"Lufthansa",1,3,2,1,3,15120,1,1,4
"27",8,"2013-05-15 21:55","2013-05-15 18:35",5,20,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 18:25","2013-05-28 09:20",7,5,"2013-05-10 23:51","E","MOW","PAR",15,"Swiss",1,3,2,1,3,15120,1,1,4
"28",8,"2013-05-15 21:55","2013-05-15 18:35",5,20,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 18:25","2013-05-28 10:50",5,35,"2013-05-10 23:51","E","MOW","PAR",14,"Lufthansa",1,3,2,1,3,15120,1,1,4
"29",8,"2013-05-15 21:55","2013-05-15 18:35",5,20,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 18:25","2013-05-28 10:50",5,35,"2013-05-10 23:51","E","MOW","PAR",15,"Swiss",1,3,2,1,3,15120,1,1,4
"30",8,"2013-05-15 21:55","2013-05-15 18:35",5,20,"2013-05-10 23:51","E","MOW","PAR","2013-05-29 01:55","2013-05-28 17:55",6,0,"2013-05-10 23:51","E","MOW","PAR",14,"Lufthansa",1,3,2,1,3,15120,1,1,4
"31",8,"2013-05-15 21:55","2013-05-15 18:35",5,20,"2013-05-10 23:51","E","MOW","PAR","2013-05-29 01:55","2013-05-28 17:55",6,0,"2013-05-10 23:51","E","MOW","PAR",15,"Swiss",1,3,2,1,3,15120,1,1,4
"32",9,"2013-05-15 21:55","2013-05-15 18:35",5,20,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 14:35","2013-05-28 07:00",5,35,"2013-05-10 23:51","E","MOW","PAR",16,"Air France",1,2,2,1,2,15383,1,1,3
"33",9,"2013-05-15 21:55","2013-05-15 18:35",5,20,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 14:35","2013-05-28 07:00",5,35,"2013-05-10 23:51","E","MOW","PAR",17,"Swiss",1,2,2,1,2,15383,1,1,3
"34",9,"2013-05-15 21:55","2013-05-15 18:35",5,20,"2013-05-10 23:51","E","MOW","PAR","2013-05-29 02:25","2013-05-28 18:30",5,55,"2013-05-10 23:51","E","MOW","PAR",16,"Air France",1,2,2,1,2,15383,1,1,3
"35",9,"2013-05-15 21:55","2013-05-15 18:35",5,20,"2013-05-10 23:51","E","MOW","PAR","2013-05-29 02:25","2013-05-28 18:30",5,55,"2013-05-10 23:51","E","MOW","PAR",17,"Swiss",1,2,2,1,2,15383,1,1,3
"36",10,"2013-05-15 13:15","2013-05-15 06:35",8,40,"2013-05-10 23:51","E","MOW","PAR","2013-05-29 02:20","2013-05-28 18:45",5,35,"2013-05-10 23:51","E","MOW","PAR",18,"Air France",4,1,2,4,1,15597,1,1,5
"37",10,"2013-05-15 13:15","2013-05-15 06:35",8,40,"2013-05-10 23:51","E","MOW","PAR","2013-05-29 02:20","2013-05-28 18:45",5,35,"2013-05-10 23:51","E","MOW","PAR",19,"Swiss",4,1,2,4,1,15597,1,1,5
"38",10,"2013-05-15 10:10","2013-05-15 06:35",5,35,"2013-05-10 23:51","E","MOW","PAR","2013-05-29 02:20","2013-05-28 18:45",5,35,"2013-05-10 23:51","E","MOW","PAR",18,"Air France",4,1,2,4,1,15597,1,1,5
