"","price.index","arr_time.x","dep_time.x","dur_hours.x","dur_minutes.x","parse_time.x","fl_class.x","fl_from.x","fl_to.x","arr_time.y","dep_time.y","dur_hours.y","dur_minutes.y","parse_time.y","fl_class.y","fl_from.y","fl_to.y","changes1","changes2","ncomp","options1","options2","price","stops1","stops2","opt.sum","Aeroflot","Aigle Azur","Air Berlin","Air France","Alitalia","British Airways","Czech Airlines","Finnair","KLM","LOT Polish Airlines","Lufthansa","Niki Luftfahrt","Rossiya","SAS","Swiss","Transaero","Tyrolean","Ukraine Intl"
"1",0,"2013-05-15 12:10","2013-05-15 07:25",6,45,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 15:45","2013-05-28 07:35",6,10,"2013-05-10 23:51","E","MOW","PAR",1,2,2,1,2,13710,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2",0,"2013-05-15 12:10","2013-05-15 07:25",6,45,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 23:20","2013-05-28 13:20",8,0,"2013-05-10 23:51","E","MOW","PAR",1,2,2,1,2,13710,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3",1,"2013-05-15 12:10","2013-05-15 07:35",6,35,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 15:45","2013-05-28 07:35",6,10,"2013-05-10 23:51","E","MOW","PAR",1,2,2,1,2,14167,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"4",1,"2013-05-15 12:10","2013-05-15 07:35",6,35,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 23:20","2013-05-28 13:20",8,0,"2013-05-10 23:51","E","MOW","PAR",1,2,2,1,2,14167,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"5",2,"2013-05-15 12:10","2013-05-15 07:25",6,45,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 21:30","2013-05-28 12:45",6,45,"2013-05-10 23:51","E","MOW","PAR",1,2,2,1,2,14530,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"6",2,"2013-05-15 12:10","2013-05-15 07:25",6,45,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 21:30","2013-05-28 13:20",6,10,"2013-05-10 23:51","E","MOW","PAR",1,2,2,1,2,14530,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"7",3,"2013-05-15 11:40","2013-05-15 07:00",6,40,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 21:30","2013-05-28 12:40",6,50,"2013-05-10 23:51","E","MOW","PAR",1,2,1,1,2,14547,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"8",3,"2013-05-15 11:40","2013-05-15 07:00",6,40,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 22:30","2013-05-28 12:40",7,50,"2013-05-10 23:51","E","MOW","PAR",1,2,1,1,2,14547,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"9",4,"2013-05-15 19:35","2013-05-15 12:25",9,10,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 21:40","2013-05-28 13:25",6,15,"2013-05-10 23:51","E","MOW","PAR",2,1,2,2,1,14553,1,1,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"10",4,"2013-05-15 22:20","2013-05-15 16:30",7,50,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 21:40","2013-05-28 13:25",6,15,"2013-05-10 23:51","E","MOW","PAR",2,1,2,2,1,14553,1,1,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
