,arr_time,dep_time,dur_hours,dur_minutes,parse_time,fl_class,fl_from,fl_to
0,2013-05-15 12:10,2013-05-15 07:25,6,45,2013-05-10 23:51,E,MOW,PAR
1,2013-05-28 15:45,2013-05-28 07:35,6,10,2013-05-10 23:51,E,MOW,PAR
2,2013-05-28 23:20,2013-05-28 13:20,8,0,2013-05-10 23:51,E,MOW,PAR
3,2013-05-15 12:10,2013-05-15 07:35,6,35,2013-05-10 23:51,E,MOW,PAR
4,2013-05-28 15:45,2013-05-28 07:35,6,10,2013-05-10 23:51,E,MOW,PAR
5,2013-05-28 23:20,2013-05-28 13:20,8,0,2013-05-10 23:51,E,MOW,PAR
6,2013-05-15 12:10,2013-05-15 07:25,6,45,2013-05-10 23:51,E,MOW,PAR
7,2013-05-28 21:30,2013-05-28 12:45,6,45,2013-05-10 23:51,E,MOW,PAR
8,2013-05-28 21:30,2013-05-28 13:20,6,10,2013-05-10 23:51,E,MOW,PAR
9,2013-05-15 11:40,2013-05-15 07:00,6,40,2013-05-10 23:51,E,MOW,PAR
10,2013-05-28 21:30,2013-05-28 12:40,6,50,2013-05-10 23:51,E,MOW,PAR
11,2013-05-28 22:30,2013-05-28 12:40,7,50,2013-05-10 23:51,E,MOW,PAR
12,2013-05-15 19:35,2013-05-15 12:25,9,10,2013-05-10 23:51,E,MOW,PAR
13,2013-05-15 22:20,2013-05-15 16:30,7,50,2013-05-10 23:51,E,MOW,PAR
14,2013-05-28 21:40,2013-05-28 13:25,6,15,2013-05-10 23:51,E,MOW,PAR
15,2013-05-15 21:55,2013-05-15 18:35,5,20,2013-05-10 23:51,E,MOW,PAR
16,2013-05-29 02:20,2013-05-28 18:45,5,35,2013-05-10 23:51,E,MOW,PAR
17,2013-05-15 21:55,2013-05-15 18:35,5,20,2013-05-10 23:51,E,MOW,PAR
18,2013-05-28 17:30,2013-05-28 09:20,6,10,2013-05-10 23:51,E,MOW,PAR
19,2013-05-15 12:10,2013-05-15 07:35,6,35,2013-05-10 23:51,E,MOW,PAR
20,2013-05-28 21:30,2013-05-28 12:45,6,45,2013-05-10 23:51,E,MOW,PAR
21,2013-05-28 21:30,2013-05-28 13:20,6,10,2013-05-10 23:51,E,MOW,PAR
22,2013-05-15 21:55,2013-05-15 18:35,5,20,2013-05-10 23:51,E,MOW,PAR
23,2013-05-28 18:25,2013-05-28 09:20,7,5,2013-05-10 23:51,E,MOW,PAR
24,2013-05-28 18:25,2013-05-28 10:50,5,35,2013-05-10 23:51,E,MOW,PAR
25,2013-05-29 01:55,2013-05-28 17:55,6,0,2013-05-10 23:51,E,MOW,PAR
26,2013-05-15 21:55,2013-05-15 18:35,5,20,2013-05-10 23:51,E,MOW,PAR
27,2013-05-28 14:35,2013-05-28 07:00,5,35,2013-05-10 23:51,E,MOW,PAR
28,2013-05-29 02:25,2013-05-28 18:30,5,55,2013-05-10 23:51,E,MOW,PAR
29,2013-05-15 13:15,2013-05-15 06:35,8,40,2013-05-10 23:51,E,MOW,PAR
30,2013-05-15 10:10,2013-05-15 06:35,5,35,2013-05-10 23:51,E,MOW,PAR
31,2013-05-15 11:40,2013-05-15 06:35,7,5,2013-05-10 23:51,E,MOW,PAR
32,2013-05-15 21:40,2013-05-15 18:00,5,40,2013-05-10 23:51,E,MOW,PAR
33,2013-05-29 02:20,2013-05-28 18:45,5,35,2013-05-10 23:51,E,MOW,PAR
34,2013-05-15 09:00,2013-05-15 05:30,5,30,2013-05-10 23:51,E,MOW,PAR
35,2013-05-15 19:35,2013-05-15 16:00,5,35,2013-05-10 23:51,E,MOW,PAR
36,2013-05-28 21:40,2013-05-28 13:25,6,15,2013-05-10 23:51,E,MOW,PAR
37,2013-05-15 19:35,2013-05-15 12:25,9,10,2013-05-10 23:51,E,MOW,PAR
38,2013-05-15 22:20,2013-05-15 16:30,7,50,2013-05-10 23:51,E,MOW,PAR
39,2013-05-28 15:35,2013-05-28 07:25,6,10,2013-05-10 23:51,E,MOW,PAR
40,2013-05-29 04:05,2013-05-28 18:10,7,55,2013-05-10 23:51,E,MOW,PAR
41,2013-05-29 04:05,2013-05-28 20:20,5,45,2013-05-10 23:51,E,MOW,PAR
