,arr_time,dep_time,dur_hours,dur_minutes,fl_class,fl_from,fl_to,parse_time
0,2013-05-16 17:10,2013-05-16 12:20,6,50,B,LED,ROM,2013-05-13 16:25
1,2013-05-31 11:50,2013-05-30 17:55,15,55,B,LED,ROM,2013-05-13 16:25
2,2013-05-16 19:20,2013-05-16 11:00,10,20,B,LED,ROM,2013-05-13 16:25
3,2013-05-31 14:50,2013-05-30 20:05,16,45,B,LED,ROM,2013-05-13 16:25
4,2013-05-31 17:00,2013-05-30 20:05,18,55,B,LED,ROM,2013-05-13 16:25
5,2013-05-16 11:00,2013-05-16 05:50,7,10,B,LED,ROM,2013-05-13 16:25
6,2013-05-16 13:30,2013-05-16 05:50,9,40,B,LED,ROM,2013-05-13 16:25
7,2013-05-30 16:00,2013-05-30 06:40,7,20,B,LED,ROM,2013-05-13 16:25
8,2013-05-31 00:25,2013-05-30 06:40,15,45,B,LED,ROM,2013-05-13 16:25
9,2013-05-30 16:00,2013-05-30 08:45,5,15,B,LED,ROM,2013-05-13 16:25
10,2013-05-31 00:25,2013-05-30 08:45,13,40,B,LED,ROM,2013-05-13 16:25
11,2013-05-31 00:25,2013-05-30 12:05,10,20,B,LED,ROM,2013-05-13 16:25
12,2013-05-31 00:25,2013-05-30 14:30,7,55,B,LED,ROM,2013-05-13 16:25
13,2013-05-31 00:25,2013-05-30 17:20,5,5,B,LED,ROM,2013-05-13 16:25
14,2013-05-16 11:00,2013-05-16 05:50,7,10,B,LED,ROM,2013-05-13 16:25
15,2013-05-16 13:30,2013-05-16 05:50,9,40,B,LED,ROM,2013-05-13 16:25
16,2013-05-31 00:15,2013-05-30 06:45,15,30,B,LED,ROM,2013-05-13 16:25
17,2013-05-30 18:10,2013-05-30 06:45,9,25,B,LED,ROM,2013-05-13 16:25
18,2013-05-31 00:15,2013-05-30 10:10,12,5,B,LED,ROM,2013-05-13 16:25
19,2013-05-30 18:10,2013-05-30 10:10,6,0,B,LED,ROM,2013-05-13 16:25
20,2013-05-31 00:15,2013-05-30 13:20,8,55,B,LED,ROM,2013-05-13 16:25
21,2013-05-31 00:15,2013-05-30 14:55,7,20,B,LED,ROM,2013-05-13 16:25
22,2013-05-16 11:00,2013-05-16 05:50,7,10,B,LED,ROM,2013-05-13 16:25
23,2013-05-16 13:30,2013-05-16 05:50,9,40,B,LED,ROM,2013-05-13 16:25
24,2013-05-31 03:25,2013-05-30 15:05,10,20,B,LED,ROM,2013-05-13 16:25
25,2013-05-16 12:30,2013-05-16 06:05,8,25,B,LED,ROM,2013-05-13 16:25
26,2013-05-16 14:05,2013-05-16 06:05,10,0,B,LED,ROM,2013-05-13 16:25
27,2013-05-16 23:35,2013-05-16 14:55,10,40,B,LED,ROM,2013-05-13 16:25
28,2013-05-16 23:35,2013-05-16 19:20,6,15,B,LED,ROM,2013-05-13 16:25
29,2013-05-30 16:00,2013-05-30 06:40,7,20,B,LED,ROM,2013-05-13 16:25
30,2013-05-31 00:25,2013-05-30 06:40,15,45,B,LED,ROM,2013-05-13 16:25
31,2013-05-30 16:00,2013-05-30 08:45,5,15,B,LED,ROM,2013-05-13 16:25
32,2013-05-31 00:25,2013-05-30 08:45,13,40,B,LED,ROM,2013-05-13 16:25
33,2013-05-31 00:25,2013-05-30 12:05,10,20,B,LED,ROM,2013-05-13 16:25
34,2013-05-31 00:25,2013-05-30 14:30,7,55,B,LED,ROM,2013-05-13 16:25
35,2013-05-31 00:25,2013-05-30 17:20,5,5,B,LED,ROM,2013-05-13 16:25
36,2013-05-16 11:00,2013-05-16 05:50,7,10,B,LED,ROM,2013-05-13 16:25
37,2013-05-16 13:30,2013-05-16 05:50,9,40,B,LED,ROM,2013-05-13 16:25
38,2013-05-31 16:00,2013-05-30 19:05,18,55,B,LED,ROM,2013-05-13 16:25
39,2013-05-16 13:30,2013-05-16 05:50,9,40,B,LED,ROM,2013-05-13 16:25
40,2013-05-30 16:00,2013-05-30 06:40,7,20,B,LED,ROM,2013-05-13 16:25
41,2013-05-30 16:00,2013-05-30 08:45,5,15,B,LED,ROM,2013-05-13 16:25
42,2013-05-31 00:25,2013-05-30 12:05,10,20,B,LED,ROM,2013-05-13 16:25
43,2013-05-31 00:25,2013-05-30 14:30,7,55,B,LED,ROM,2013-05-13 16:25
