,raw
0,Вылет
1,Прилет
2,В пути
3,DME07:2515&nbsp;Мая
4,CDG12:1015&nbsp;Мая
5,6 ч. 45 мин.
6,Вылет
7,Прилет
8,В пути
9,CDG07:3528&nbsp;Мая
10,SVO15:4528&nbsp;Мая
11,6 ч. 10 мин.
12,CDG13:2028&nbsp;Мая
13,DME23:2028&nbsp;Мая
14,8 ч. 0 мин.
15,Вылет
16,Прилет
17,В пути
18,SVO07:3515&nbsp;Мая
19,CDG12:1015&nbsp;Мая
20,6 ч. 35 мин.
21,Вылет
22,Прилет
23,В пути
24,CDG07:3528&nbsp;Мая
25,SVO15:4528&nbsp;Мая
26,6 ч. 10 мин.
27,CDG13:2028&nbsp;Мая
28,DME23:2028&nbsp;Мая
29,8 ч. 0 мин.
30,Вылет
31,Прилет
32,В пути
33,DME07:2515&nbsp;Мая
34,CDG12:1015&nbsp;Мая
35,6 ч. 45 мин.
36,Вылет
37,Прилет
38,В пути
39,CDG12:4528&nbsp;Мая
40,SVO21:3028&nbsp;Мая
41,6 ч. 45 мин.
42,CDG13:2028&nbsp;Мая
43,SVO21:3028&nbsp;Мая
44,6 ч. 10 мин.
45,Вылет
46,Прилет
47,В пути
48,DME07:0015&nbsp;Мая
49,CDG11:4015&nbsp;Мая
50,6 ч. 40 мин.
51,Вылет
52,Прилет
53,В пути
54,CDG12:4028&nbsp;Мая
55,DME21:3028&nbsp;Мая
56,6 ч. 50 мин.
57,CDG12:4028&nbsp;Мая
58,DME22:3028&nbsp;Мая
59,7 ч. 50 мин.
60,Вылет
61,Прилет
62,В пути
63,SVO12:2515&nbsp;Мая
64,CDG19:3515&nbsp;Мая
65,9 ч. 10 мин.
66,SVO16:3015&nbsp;Мая
67,CDG22:2015&nbsp;Мая
68,7 ч. 50 мин.
69,Вылет
70,Прилет
71,В пути
72,CDG13:2528&nbsp;Мая
73,SVO21:4028&nbsp;Мая
74,6 ч. 15 мин.
75,Вылет
76,Прилет
77,В пути
78,DME18:3515&nbsp;Мая
79,CDG21:5515&nbsp;Мая
80,5 ч. 20 мин.
81,Вылет
82,Прилет
83,В пути
84,CDG18:4528&nbsp;Мая
85,DME02:2029&nbsp;Мая
86,5 ч. 35 мин.
87,Вылет
88,Прилет
89,В пути
90,DME18:3515&nbsp;Мая
91,CDG21:5515&nbsp;Мая
92,5 ч. 20 мин.
93,Вылет
94,Прилет
95,В пути
96,CDG09:2028&nbsp;Мая
97,DME17:3028&nbsp;Мая
98,6 ч. 10 мин.
99,Вылет
100,Прилет
101,В пути
102,SVO07:3515&nbsp;Мая
103,CDG12:1015&nbsp;Мая
104,6 ч. 35 мин.
105,Вылет
106,Прилет
107,В пути
108,CDG12:4528&nbsp;Мая
109,SVO21:3028&nbsp;Мая
110,6 ч. 45 мин.
111,CDG13:2028&nbsp;Мая
112,SVO21:3028&nbsp;Мая
113,6 ч. 10 мин.
114,Вылет
115,Прилет
116,В пути
117,DME18:3515&nbsp;Мая
118,CDG21:5515&nbsp;Мая
119,5 ч. 20 мин.
120,Вылет
121,Прилет
122,В пути
123,CDG09:2028&nbsp;Мая
124,VKO18:2528&nbsp;Мая
125,7 ч. 5 мин.
126,CDG10:5028&nbsp;Мая
127,VKO18:2528&nbsp;Мая
128,5 ч. 35 мин.
129,CDG17:5528&nbsp;Мая
130,VKO01:5529&nbsp;Мая
131,6 ч. 0 мин.
132,Вылет
133,Прилет
134,В пути
135,DME18:3515&nbsp;Мая
136,CDG21:5515&nbsp;Мая
137,5 ч. 20 мин.
138,Вылет
139,Прилет
140,В пути
141,CDG07:0028&nbsp;Мая
142,DME14:3528&nbsp;Мая
143,5 ч. 35 мин.
144,CDG18:3028&nbsp;Мая
145,DME02:2529&nbsp;Мая
146,5 ч. 55 мин.
147,Вылет
148,Прилет
149,В пути
150,DME06:3515&nbsp;Мая
151,CDG13:1515&nbsp;Мая
152,8 ч. 40 мин.
153,DME06:3515&nbsp;Мая
154,CDG10:1015&nbsp;Мая
155,5 ч. 35 мин.
156,DME06:3515&nbsp;Мая
157,CDG11:4015&nbsp;Мая
158,7 ч. 5 мин.
159,DME18:0015&nbsp;Мая
160,CDG21:4015&nbsp;Мая
161,5 ч. 40 мин.
162,Вылет
163,Прилет
164,В пути
165,CDG18:4528&nbsp;Мая
166,DME02:2029&nbsp;Мая
167,5 ч. 35 мин.
168,Вылет
169,Прилет
170,В пути
171,SVO05:3015&nbsp;Мая
172,CDG09:0015&nbsp;Мая
173,5 ч. 30 мин.
174,SVO16:0015&nbsp;Мая
175,CDG19:3515&nbsp;Мая
176,5 ч. 35 мин.
177,Вылет
178,Прилет
179,В пути
180,CDG13:2528&nbsp;Мая
181,SVO21:4028&nbsp;Мая
182,6 ч. 15 мин.
183,Вылет
184,Прилет
185,В пути
186,SVO12:2515&nbsp;Мая
187,CDG19:3515&nbsp;Мая
188,9 ч. 10 мин.
189,SVO16:3015&nbsp;Мая
